Nombre Evento;Comprado?;Consumible o material;Producto;Descripción;Precio Total (€) ANTES;Unidad Real;Precio/Unidad Real; Precio Real (€) ;Ahorrado cancelaciones/donaciones/precio real;Link Compra;Proveedor;Tipo de Despensa;Categoría de necesidad;Notas;POSIBLE DONACION PATER;Columna1;ENLACE DONACION
3. Asado Final;Pendiente;MATERIALES;Impresion carteles ;A6 pack de 40 Workcenter;0.00 €;1;43.79; € 43.79 ;;https://www.workcenter.es/flyers/tarjetones;Amazon;Objeto;Asado final Decoracion;;;;
3. Asado Final;Comprado;MATERIALES;Sujeta carteles de mesa;30 piezas ronda plata;0.00 €;1;12.99; € 12.99 ;;https://amzn.eu/d/0hjgNIVh;AMAZON;Objeto;Asado final Decoracion;;;;
3. Asado Final;Comprado;MATERIALES;Vasos Plástico 300ml;Vasos reutilizables reforzados 300ml;186.00 €;600;0.31; € 186.00 ;;https://tienda.makro.es/shop/store/pv/BTY-X209395;Makro;Objeto;Asado final Servicio;Pendiente de confirmar donación de Frigo;;;
3. Asado Final;Cancelado;MATERIALES;Cucharillas Postre;Cucharillas para postre (revisar si las 660 generales cubren);18.11 €;566;0.03; € 18.11 ;;Pendiente;Temu;Objeto;Asado final Servicio;Pendiente de confirmar donación de Frigo;;;
3. Asado Final;Cancelado;MATERIALES;Platos;Platos cartón 23cm — pdte. confirmar si los cubre catering;51.15 €;0;0.00; € -   ;51.15 €;https://tienda.makro.es/shop/store/pv/BTY-X209164;Makro;Objeto;Asado final Servicio;;;;
3. Asado Final;Cancelado;MATERIALES;Tenedores monouso;Tenedores desechables — pdte. confirmar si los cubre catering;20.00 €;0;0.00; € -   ;20.00 €;https://www.temu.com/es/100-uds-300-uds-tenedor-de-plastico;Temu;Objeto;Asado final Servicio;;;;
3. Asado Final;Cancelado;MATERIALES;Cuchillos monouso;Cuchillos desechables — pdte. confirmar si los cubre catering;27.85 €;0;0.00; € -   ;27.85 €;https://www.temu.com/es/100-300-piezas-de--desechable--cubiertos-desechables;Temu;Objeto;Asado final Servicio;;;;
3. Asado Final;Pendiente;MATERIALES;Cucharillas monouso postre;Cucharillas desechables — pdte. confirmar si los cubre catering;21.12 €;0;0.00; € -   ;21.12 €;https://www.temu.com/es/pack-100-cucharas-plastico-reutilizables-blancas;Makro;Objeto;Asado final Servicio;Pendiente de confirmar donación de Frigo;;;
3. Asado Final;Comprado;MATERIALES;Servilletas decoradas;Servilletas de papel decoradas;86.40 €;1200;0.07; € 86.40 ;;https://www.temu.com/es/-paquetes-conteniendo-40-servilletas-a-cuadros;Temu;Objeto;Asado final Servicio;;;;
3. Asado Final;Comprado;MATERIALES;Servilletas papel rosas;Servilletas papel rosas vichy (pack 40);0.00 €;4;8.92; € 35.68 ;;https://www.amazon.es/servilletas-pulgadas-desechables-decoraciones-navide%C3%B1as/dp/B0FY2WMLBB/ref=sr_1_3?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=5H73ZV67J5KJ&dib=eyJ2IjoiMSJ9.cMUnYLHZz5AEPwEihajT1sXYRdEp2kZYF1SpYYLoVI0Gkwvx9TgRg7K91fNiTr9pX_8QL72iumpV7mm_e4DoEpOn6A6DjSnNuPTj_RnCr_olO6sUDxCGoZ_DEZJkP5-1cXkhZLeNrup0-x8tJoX9BJhexxnF5LXBhHAyS2-BoR7uKHTlgiOO7avtUn6UJtuRra5J98moSeUhnH86dcdlJ_rhoW4XXeS82kVB0dEbOp-01hBr-IElZPqXKxJiIX2YpucsQ8bCZ4h2Z_ekin13WtsXDFGLhXl0itl_mjyeZnE.770GbHYeIz2bnV9GuLDcABT86tRCKndec6aZK3b-Pjs&dib_tag=se&keywords=servilletas+papel+vichy+rosa&qid=1782763050&sprefix=servilletas+papel+vichy+rosa%2Caps%2C137&sr=8-3;Amazon;Objeto;Asado final Servicio;;;;
3. Asado Final;Comprado;MATERIALES;Servilletas papel azul;Servilletas papel azul vichy (pack 40);0.00 €;4;5.09; € 20.36 ;;https://www.amazon.es/servilletas-pulgadas-desechables-decoraciones-navide%C3%B1as/dp/B0FY2VFLFL/ref=sr_1_3?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3NHCB3SVQFYPJ&dib=eyJ2IjoiMSJ9.cMUnYLHZz5AEPwEihajT1n_YGZeaFysFOraliNaB7FmfjM-t4CDdqK_JocE_DZQM2PHfj8eAZq7GKYUhGjbCJPBwEgIy6mWqtSiSns1d7RHv56455WvrJRiSLN_CB7LJmOJW5xUyljnKrvRZASSuE_Gj3D-IPE4L6QB1fBpCo_3NFSs-_JJ2kbkCjBercFBNPLSMaIS2V7D1ZWqhiXzuWN35h3L159H-_-fste_5TKuOwLfB7rbDCdfhiW41LXo-ACmE5GMlWIjnDTjcfiPysd3DvCJf_sgsqLmYUdoxl_o.61pHnkRHKauoRMcfDgnBBZ9nIBSaIsybW2tVg03BfT0&dib_tag=se&keywords=servilletas%2Bpapel%2Bvichy%2Bazul&qid=1782763068&sprefix=servilletas%2Bpapel%2Bvichy%2Bazul%2Caps%2C90&sr=8-3&th=1;Amazon;Objeto;Asado final Servicio;;;;
3. Asado Final;Comprado;MATERIALES;Servilletas papel verdes;Servilletas papel verde vichy (pack 60);0.00 €;3;11.99; € 29.98 ;;https://www.amazon.es/OH-YEAH-Servilletas-Cumplea%C3%B1os-Decoraci%C3%B3n/dp/B0GVJP7CCF/ref=sr_1_4?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1WO7T0CYKKCR5&dib=eyJ2IjoiMSJ9.JTutrsNoGx0aOn6MYw0fLkI8-S7SS8IIv0AGKX3y7zr-NIe5ud-PgXwP9uINKLsqMbGUk8eDAreBNVqgVJWmpBYMiKjm-yiehpy9LaelLXDPZo6yFq9m-SwIW7PRZZCf2UDkusVVq4hlW9NGs6gzXsY31GlM4n9JdSWlKBOW7iOed_8tfFyUpnCiZyqfuH6176hFdwdFm8jVDd160Ngx76Bhte0HDdOxd0_QK_vyPZME0FfHPelk0vhJBQAfJ3BRqbUfp1cK7hNoFj2iP9_h-VXfOGULVtScJYXDYp2zN_g.Z3u4FvwgARzta-MQo9iAj7cUf2_WmqrmdQTYOR2shgw&dib_tag=se&keywords=servilletas%2Bpapel%2Bvichy&qid=1782762975&sprefix=servilletas%2Bpapel%2Bvichy%2Caps%2C127&sr=8-4&th=1;Amazon;Objeto;Asado final Servicio;;;;
3. Asado Final;Comprado;MATERIALES;Servilletas papel amarillas;Servilletas papel amarillo vichy (pack 60);0.00 €;3;11.99; € 29.98 ;;https://www.amazon.es/OH-YEAH-Servilletas-Cumplea%C3%B1os-Decoraci%C3%B3n/dp/B0GVJP7CCF/ref=sr_1_4?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1WO7T0CYKKCR5&dib=eyJ2IjoiMSJ9.JTutrsNoGx0aOn6MYw0fLkI8-S7SS8IIv0AGKX3y7zr-NIe5ud-PgXwP9uINKLsqMbGUk8eDAreBNVqgVJWmpBYMiKjm-yiehpy9LaelLXDPZo6yFq9m-SwIW7PRZZCf2UDkusVVq4hlW9NGs6gzXsY31GlM4n9JdSWlKBOW7iOed_8tfFyUpnCiZyqfuH6176hFdwdFm8jVDd160Ngx76Bhte0HDdOxd0_QK_vyPZME0FfHPelk0vhJBQAfJ3BRqbUfp1cK7hNoFj2iP9_h-VXfOGULVtScJYXDYp2zN_g.Z3u4FvwgARzta-MQo9iAj7cUf2_WmqrmdQTYOR2shgw&dib_tag=se&keywords=servilletas%2Bpapel%2Bvichy&qid=1782762975&sprefix=servilletas%2Bpapel%2Bvichy%2Caps%2C127&sr=8-4&th=1;Amazon;Objeto;Asado final Servicio;;;;
4. Comida Unav;N/A;CONSUMIBLE;Catering UNAV;Catering UNAV;5,660.00 €;566;8.60; € 4,867.60 ;792.40 €;;Pendiente;N/A;Comida UNAV;;;;
2. International Nights;Pendiente;MATERIALES;Palillos comida;BALANZA.- 1000 palillos de madera/juego de 2 cajas de 500 piezas - uso diario, higiene dental, palillos de aperitivo - 1000 piezas;0.00 €;2;5.99; € 11.98 ;;https://www.amazon.es/PARENCE-Cures-dents-Bois-s/dp/B0CG5PWH87/ref=sr_1_6?crid=LEPZAWHZ5M3O&dib=eyJ2IjoiMSJ9.INF0zFL4n2-KPsqDNVotWLok7d3P0_tlQRy82YEuzq4t1V2vRd6Mr2REhQdVntpaGg6UV5PlmHP6VOtkRnoTtxTq3FsCi-uToi4nfgqLFSYpdEGqn8UVIYTMq1VxvHTYTl1d4R994B9BJiCwqy8ehMjpF4O5WcAi4jGOBgOVwyIk5pi2IKqk3Zm6DZDaB6QrFSub9PlQ-3z_aSpLpOWfLGnSKEf0J33nAlrJQxp0m9Gd0SsinP8YgLxuoCpqvRDDaoF65ZlEDVOmh6ATdWUbRg7a2Wc1_X7N_PTEqgF55Y0.Fhtj-cXW_M5XgpUQUt2S5bCJ40co_lE-zGMgsLGSn-0&dib_tag=se&keywords=palillos%2Bpara%2Baperitivos&qid=1783365521&sprefix=palillos%2Caps%2C223&sr=8-6&th=1;Amazon;Objeto;Spanish Servicio;;;;
2. International Nights;Pendiente;MATERIALES;guantes;;0.00 €;1;6.36; € 6.36 ;;https://www.amazon.es/gp/product/B07T8TR863/ref=ox_sc_act_title_1?smid=A1AT7YVPFBWXBL&psc=1;;;;;;;
